board_position,player_white,voc,move_time,elo,n_candidates,ply
r1bqkb1r/pp2pppp/2n2n2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R,False,0.032999999999999974,1,2113,5,0
r1bqkb1r/pp3ppp/2n1pn2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R,True,0.0,1,2083,5,0
r1bqkb1r/pp3ppp/2n1pn2/3p2B1/2PP4/2N2N2/PP3PPP/R2QKB1R,False,0.17700000000000002,0,2113,5,0
r1bqk2r/pp3ppp/2n1pn2/3p2B1/1bPP4/2N2N2/PP3PPP/R2QKB1R,True,0.0,3,2083,5,0
r1bqk2r/pp3ppp/2n1pn2/3P2B1/1b1P4/2N2N2/PP3PPP/R2QKB1R,False,0.0,10,2113,5,0
r1b1k2r/pp3ppp/2n1pn2/3q2B1/1b1P4/2N2N2/PP3PPP/R2QKB1R,True,0.013000000000000001,16,2083,5,0
r1b1k2r/pp3ppp/2n1pB2/3q4/1b1P4/2N2N2/PP3PPP/R2QKB1R,False,0.0,2,2113,5,0
r1b1k2r/pp3p1p/2n1pp2/3q4/1b1P4/2N2N2/PP3PPP/R2QKB1R,True,0.016,3,2083,5,0
r1b1k2r/pp3p1p/2n1pp2/3q4/1b1P4/2N2N2/PP2BPPP/R2QK2R,False,0.0020000000000000018,8,2113,5,0
r1b1k2r/pp3p1p/2n1pp2/q7/1b1P4/2N2N2/PP2BPPP/R2QK2R,True,0.0,26,2083,5,0
r1b1k2r/pp3p1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R3K2R,False,0.0,3,2113,5,0
r1b4r/pp2kp1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R3K2R,True,0.001,2,2083,5,0
r1b4r/pp2kp1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R4RK1,False,0.887,2,2113,5,0
r1br4/pp2kp1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R4RK1,True,0.038000000000000034,3,2083,5,0
