board_position,player_white,voc,move_time,elo,n_candidates,ply
rnbqkb1r/p1pppppp/1p3n2/8/2PP4/8/PP2PPPP/RNBQKBNR,True,0.0,15.0,2148,5,5
rnbqkb1r/p1pppppp/1p3n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR,False,0.0,2.0,2062,5,6
rn1qkb1r/pbpppppp/1p3n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR,True,0.1099999999999999,7.0,2148,5,7
rn1qkb1r/pbpppppp/1p3n2/3P4/2P5/2N5/PP2PPPP/R1BQKBNR,False,0.0,6.0,2062,5,8
rn1qkb1r/pbpp1ppp/1p2pn2/3P4/2P5/2N5/PP2PPPP/R1BQKBNR,True,0.187,5.0,2148,5,9
rn1qkb1r/pbpp1ppp/1p2Pn2/8/2P5/2N5/PP2PPPP/R1BQKBNR,False,0.0,1.0,2062,5,10
rn1qkb1r/pbpp2pp/1p2pn2/8/2P5/2N5/PP2PPPP/R1BQKBNR,True,0.004,23.0,2148,5,11
rn1qkb1r/pbpp2pp/1p2pn2/6B1/2P5/2N5/PP2PPPP/R2QKBNR,False,0.025,2.0,2062,5,12
rn1qk2r/pbpp2pp/1p2pn2/6B1/1bP5/2N5/PP2PPPP/R2QKBNR,True,0.003,12.0,2148,5,13
rn1qk2r/pbpp2pp/1p2pn2/6B1/1bP5/2N1P3/PP3PPP/R2QKBNR,False,0.075,5.0,2062,5,14
rn1qk2r/pbpp2pp/1p2pn2/6B1/2P5/2b1P3/PP3PPP/R2QKBNR,True,0.0,2.0,2148,3,15
rn1qk2r/pbpp2pp/1p2pn2/6B1/2P5/2P1P3/P4PPP/R2QKBNR,False,0.0,2.0,2062,5,16
rn1q1rk1/pbpp2pp/1p2pn2/6B1/2P5/2P1P3/P4PPP/R2QKBNR,True,0.0,8.0,2148,5,17
rn1q1rk1/pbpp2pp/1p2pn2/6B1/2P5/2P1PN2/P4PPP/R2QKB1R,False,0.0,3.0,2062,5,18
rn1q1rk1/pbpp2p1/1p2pn1p/6B1/2P5/2P1PN2/P4PPP/R2QKB1R,True,0.0,18.0,2148,5,19
rn1q1rk1/pbpp2p1/1p2pn1p/8/2P4B/2P1PN2/P4PPP/R2QKB1R,False,0.0,1.0,2062,5,20
rn1q1rk1/pb1p2p1/1p2pn1p/2p5/2P4B/2P1PN2/P4PPP/R2QKB1R,True,0.03,13.0,2148,5,21
rn1q1rk1/pb1p2p1/1p1Qpn1p/2p5/2P4B/2P1PN2/P4PPP/R3KB1R,False,0.016,20.0,2062,5,22
rn1q1rk1/p2p2p1/1p1Qpn1p/2p5/2P4B/2P1Pb2/P4PPP/R3KB1R,True,0.0,4.0,2148,5,23
rn1q1rk1/p2p2p1/1p1Qpn1p/2p5/2P4B/2P1PP2/P4P1P/R3KB1R,False,0.0,2.0,2062,5,24
r2q1rk1/p2p2p1/1pnQpn1p/2p5/2P4B/2P1PP2/P4P1P/R3KB1R,True,0.039,34.0,2148,5,25
r2q1rk1/p2p2p1/1pnQpn1p/2p5/2P4B/2P1PP2/P4P1P/R3KBR1,False,0.458,4.0,2062,5,26
